name,ticker,image_link
PNC Financial Services,PNC,https://companiesmarketcap.com/img/company-logos/64/PNC.webp
Siemens Healthineers,SHL.DE,https://companiesmarketcap.com/img/company-logos/64/SHL.DE.webp
Fast Retailing,9983.T,https://companiesmarketcap.com/img/company-logos/64/9983.T.webp
Bayer,BAYZF,https://companiesmarketcap.com/img/company-logos/64/BAYZF.webp
General Dynamics,GD,https://companiesmarketcap.com/img/company-logos/64/GD.webp
Air Products and Chemicals,APD,https://companiesmarketcap.com/img/company-logos/64/APD.webp
ABB,ABB,https://companiesmarketcap.com/img/company-logos/64/ABB.webp
3M,MMM,https://companiesmarketcap.com/img/company-logos/64/MMM.webp
America Movil,AMX,https://companiesmarketcap.com/img/company-logos/64/AMX.webp
Santander,SAN,https://companiesmarketcap.com/img/company-logos/64/SAN.webp
Humana,HUM,https://companiesmarketcap.com/img/company-logos/64/HUM.webp
Nongfu Spring,9633.HK,https://companiesmarketcap.com/img/company-logos/64/9633.HK.webp
Postal Savings Bank of China,601658.SS,https://companiesmarketcap.com/img/company-logos/64/601658.SS.webp
China Tourism Group Duty Free,601888.SS,https://companiesmarketcap.com/img/company-logos/64/601888.SS.webp
Waste Management,WM,https://companiesmarketcap.com/img/company-logos/64/WM.webp
Shopify,SHOP,https://companiesmarketcap.com/img/company-logos/64/SHOP.webp
Daiichi Sankyō,4568.T,https://companiesmarketcap.com/img/company-logos/64/4568.T.webp
Safran,SAF.PA,https://companiesmarketcap.com/img/company-logos/64/SAF.PA.webp
Colgate-Palmolive,CL,https://companiesmarketcap.com/img/company-logos/64/CL.webp
Crown Castle,CCI,https://companiesmarketcap.com/img/company-logos/64/CCI.webp
Charter Communications,CHTR,https://companiesmarketcap.com/img/company-logos/64/CHTR.webp
Intercontinental Exchange,ICE,https://companiesmarketcap.com/img/company-logos/64/ICE.webp
Housing Development Finance Corporation,HDFC.NS,https://companiesmarketcap.com/img/company-logos/64/HDFC.NS.webp
Shin-Etsu Chemical,4063.T,https://companiesmarketcap.com/img/company-logos/64/4063.T.webp
Emirates Telecom (Etisalat Group),EAND.AE,https://companiesmarketcap.com/img/company-logos/64/EAND.AE.webp
Sherwin-Williams,SHW,https://companiesmarketcap.com/img/company-logos/64/SHW.webp
Freeport-McMoRan,FCX,https://companiesmarketcap.com/img/company-logos/64/FCX.webp
Activision Blizzard,ATVI,https://companiesmarketcap.com/img/company-logos/64/ATVI.webp
Sumitomo Mitsui Financial Group,SMFG,https://companiesmarketcap.com/img/company-logos/64/SMFG.webp
Enel,ENEL.MI,https://companiesmarketcap.com/img/company-logos/64/ENEL.MI.webp
Investor AB,IVS.F,https://companiesmarketcap.com/img/company-logos/64/IVS.F.webp
State Bank of India,SBIN.NS,https://companiesmarketcap.com/img/company-logos/64/SBIN.NS.webp
Mindray,300760.SZ,https://companiesmarketcap.com/img/company-logos/64/300760.SZ.webp
Occidental Petroleum,OXY,https://companiesmarketcap.com/img/company-logos/64/OXY.webp
General Motors,GM,https://companiesmarketcap.com/img/company-logos/64/GM.webp
Atlas Copco,ATCO-B.ST,https://companiesmarketcap.com/img/company-logos/64/ATCO-B.ST.webp
NetEase,NTES,https://companiesmarketcap.com/img/company-logos/64/NTES.webp
Thomson Reuters,TRI,https://companiesmarketcap.com/img/company-logos/64/TRI.webp
Marathon Petroleum,MPC,https://companiesmarketcap.com/img/company-logos/64/MPC.webp
The Saudi National Bank,1180.SR,https://companiesmarketcap.com/img/company-logos/64/1180.SR.webp
Westpac Banking,WBC.AX,https://companiesmarketcap.com/img/company-logos/64/WBC.AX.webp
Verbund AG,OEWA.F,https://companiesmarketcap.com/img/company-logos/64/OEWA.F.webp
Heineken,HEIA.AS,https://companiesmarketcap.com/img/company-logos/64/HEIA.AS.webp
Moody's,MCO,https://companiesmarketcap.com/img/company-logos/64/MCO.webp
Enterprise Products,EPD,https://companiesmarketcap.com/img/company-logos/64/EPD.webp
ITC,ITC.NS,https://companiesmarketcap.com/img/company-logos/64/ITC.NS.webp
Southern Copper,SCCO,https://companiesmarketcap.com/img/company-logos/64/SCCO.webp
Tokyo Electron,8035.T,https://companiesmarketcap.com/img/company-logos/64/8035.T.webp
Bharti Airtel,BHARTIARTL.NS,https://companiesmarketcap.com/img/company-logos/64/BHARTIARTL.NS.webp
MetLife,MET,https://companiesmarketcap.com/img/company-logos/64/MET.webp
RELX,RELX,https://companiesmarketcap.com/img/company-logos/64/RELX.webp
MercadoLibre,MELI,https://companiesmarketcap.com/img/company-logos/64/MELI.webp
KLA,KLAC,https://companiesmarketcap.com/img/company-logos/64/KLAC.webp
Pioneer Natural Resources,PXD,https://companiesmarketcap.com/img/company-logos/64/PXD.webp
Marriott International,MAR,https://companiesmarketcap.com/img/company-logos/64/MAR.webp
Synopsys,SNPS,https://companiesmarketcap.com/img/company-logos/64/SNPS.webp
Oriental Land,4661.T,https://companiesmarketcap.com/img/company-logos/64/4661.T.webp
Anglo American,AAL.L,https://companiesmarketcap.com/img/company-logos/64/AAL.L.webp
Norfolk Southern,NSC,https://companiesmarketcap.com/img/company-logos/64/NSC.webp
Monster Beverage,MNST,https://companiesmarketcap.com/img/company-logos/64/MNST.webp
Foshan Haitian Flavouring and Food,603288.SS,https://companiesmarketcap.com/img/company-logos/64/603288.SS.webp
Hong Kong Exchanges & Clearing,0388.HK,https://companiesmarketcap.com/img/company-logos/64/0388.HK.webp
Midea,000333.SZ,https://companiesmarketcap.com/img/company-logos/64/000333.SZ.webp
Dassault Systèmes,DSY.PA,https://companiesmarketcap.com/img/company-logos/64/DSY.PA.webp
Deutsche Post,DPW.DE,https://companiesmarketcap.com/img/company-logos/64/DPW.DE.webp
Valero Energy,VLO,https://companiesmarketcap.com/img/company-logos/64/VLO.webp
ANZ Bank,ANZ.AX,https://companiesmarketcap.com/img/company-logos/64/ANZ.AX.webp
United Heavy Machinery,OMZZP.ME,https://companiesmarketcap.com/img/company-logos/64/OMZZP.ME.webp
Stellantis,STLA,https://companiesmarketcap.com/img/company-logos/64/STLA.webp
FedEx,FDX,https://companiesmarketcap.com/img/company-logos/64/FDX.webp
Public Storage,PSA,https://companiesmarketcap.com/img/company-logos/64/PSA.webp
ENI,E,https://companiesmarketcap.com/img/company-logos/64/E.webp
O'Reilly Automotive,ORLY,https://companiesmarketcap.com/img/company-logos/64/ORLY.webp
Pernod Ricard,RI.PA,https://companiesmarketcap.com/img/company-logos/64/RI.PA.webp
Daikin,6367.T,https://companiesmarketcap.com/img/company-logos/64/6367.T.webp
Industrial Bank,601166.SS,https://companiesmarketcap.com/img/company-logos/64/601166.SS.webp
Mitsubishi Corporation,8058.T,https://companiesmarketcap.com/img/company-logos/64/8058.T.webp
Intesa Sanpaolo,ISP.MI,https://companiesmarketcap.com/img/company-logos/64/ISP.MI.webp
Baidu,BIDU,https://companiesmarketcap.com/img/company-logos/64/BIDU.webp
Dollar General,DG,https://companiesmarketcap.com/img/company-logos/64/DG.webp
Ford,F,https://companiesmarketcap.com/img/company-logos/64/F.webp
Snowflake,SNOW,https://companiesmarketcap.com/img/company-logos/64/SNOW.webp
ING,ING,https://companiesmarketcap.com/img/company-logos/64/ING.webp
SK Hynix,000660.KS,https://companiesmarketcap.com/img/company-logos/64/000660.KS.webp
Recruit,6098.T,https://companiesmarketcap.com/img/company-logos/64/6098.T.webp
Macquarie,MQG.AX,https://companiesmarketcap.com/img/company-logos/64/MQG.AX.webp
London Stock Exchange,LS4C.F,https://companiesmarketcap.com/img/company-logos/64/LS4C.F.webp
LONGi Green Energy Technology,601012.SS,https://companiesmarketcap.com/img/company-logos/64/601012.SS.webp
Cadence Design Systems,CDNS,https://companiesmarketcap.com/img/company-logos/64/CDNS.webp
Reckitt Benckiser,RKT.L,https://companiesmarketcap.com/img/company-logos/64/RKT.L.webp
Infineon,IFX.DE,https://companiesmarketcap.com/img/company-logos/64/IFX.DE.webp
Hikvision,002415.SZ,https://companiesmarketcap.com/img/company-logos/64/002415.SZ.webp
Keurig Dr Pepper,KDP,https://companiesmarketcap.com/img/company-logos/64/KDP.webp
Itaú Unibanco,ITUB,https://companiesmarketcap.com/img/company-logos/64/ITUB.webp
Phillips 66,PSX,https://companiesmarketcap.com/img/company-logos/64/PSX.webp
Hitachi,6501.T,https://companiesmarketcap.com/img/company-logos/64/6501.T.webp
Palo Alto Networks,PANW,https://companiesmarketcap.com/img/company-logos/64/PANW.webp
McKesson,MCK,https://companiesmarketcap.com/img/company-logos/64/MCK.webp
